,#,선수명,팀명,승,패,세,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR,기록년도,플레이어 id,완투,완봉,타자,안타,홈런,실점,자책,삼진,볼넷,고4,HBP,폭투,보크,PK,삼진%,볼넷%,삼/볼,피안타율,피출루율,WHIP
0,1,장명부,삼미,30,16,6,60,51,427.3,4.63,2.23,0.40,0.279,77.00,2.34,11.45,2.37,2.43,11.40,1983,2233,36,5,1712,388,19,138,111,220,106,6,16,6,1,0,12.9,6.2,2.08,0.249,0.296,1.16
1,2,이상윤,해태,20,10,6,46,35,229.3,6.99,3.73,0.39,0.265,74.10,2.67,4.37,2.06,2.38,6.80,1983,2139,14,3,944,181,10,83,68,178,95,0,4,3,0,0,18.9,10.1,1.87,0.217,0.297,1.20
2,3,김시진,삼성,17,12,1,37,27,229.3,6.04,3.73,0.31,0.272,76.70,2.55,5.26,2.30,2.53,5.99,1983,1651,17,5,950,189,8,78,65,154,95,6,14,5,0,0,16.2,10.0,1.62,0.231,0.308,1.24
3,4,최동원,롯데,9,16,4,38,29,208.7,6.38,2.20,0.73,0.297,72.50,2.89,2.45,2.29,2.53,5.43,1983,2366,16,1,863,202,17,89,67,148,51,2,8,3,0,0,17.1,5.9,2.90,0.257,0.302,1.21
4,5,이길환,MBC,15,7,4,33,21,208.3,3.63,2.42,0.35,0.265,76.30,2.51,5.23,2.72,2.68,3.99,1983,2112,10,4,845,184,8,68,58,84,56,3,11,1,2,0,9.9,6.6,1.50,0.245,0.296,1.15
5,6,하기룡,MBC,10,11,4,36,23,173.7,3.78,2.49,0.21,0.243,72.60,2.33,3.96,2.40,2.38,3.97,1983,2434,6,2,696,137,4,57,45,73,48,7,8,4,2,0,10.5,6.9,1.52,0.221,0.275,1.07
6,7,김용남,해태,13,10,1,35,17,181.3,3.97,1.49,0.60,0.268,73.50,2.83,3.41,2.59,2.58,3.75,1983,1659,6,3,731,171,12,67,57,80,30,3,5,1,0,0,10.9,4.1,2.67,0.252,0.281,1.11
7,8,임호균,삼미,12,15,2,35,20,234.7,3.30,1.99,0.61,0.279,73.10,3.03,4.08,3.03,2.95,3.71,1983,2232,15,1,954,231,16,94,79,86,52,1,6,1,1,0,9.0,5.5,1.65,0.265,0.306,1.21
8,9,계형철,OB,9,12,0,29,10,193.3,4.00,3.35,0.51,0.291,68.60,3.44,1.31,3.20,3.21,2.66,1983,1520,9,3,816,190,11,97,74,86,72,2,13,9,3,0,10.5,8.8,1.19,0.269,0.334,1.36
9,10,배경환,롯데,7,4,0,37,12,150.0,3.72,1.92,0.54,0.288,67.60,3.18,0.77,2.79,2.76,2.42,1983,1892,4,2,637,159,9,72,53,62,32,0,5,2,2,0,9.7,5.0,1.94,0.270,0.307,1.27
