,선수명,기록년도,팀명,연봉(만원),WAR
0,이강철,1997,해태,11000,4.247
1,김정수,1997,해태,9600,1.364
2,홍현우,1997,해태,9600,5.778
3,이대진,1997,해태,9000,4.891
4,이호성,1997,해태,7000,3.295
5,송구홍,1997,해태,5300,
6,최해식,1997,해태,4800,0.824
7,박재용,1997,해태,4800,1.251
8,강태원,1997,해태,4500,1.248
9,백인호,1997,해태,4500,0.142
10,최훈재,1997,해태,4100,2.168
11,박재벌,1997,해태,3800,0.259
12,이경복,1997,해태,3600,-0.237
13,김종국,1997,해태,3600,0.477
14,김상진,1997,해태,3600,3.226
15,조현,1997,해태,3500,-0.032
16,임창용,1997,해태,3200,6.547
17,김태룡,1997,해태,3200,0.965
18,최상덕,1997,해태,3000,
19,장성호,1997,해태,2500,0.317
20,김재덕,1997,해태,2300,
21,안상준,1997,해태,2200,-0.149
22,이재만,1997,해태,2200,-0.043
23,이병석,1997,해태,2200,
24,김창희,1997,해태,2000,1.609
25,장석희,1997,해태,2000,-0.267
26,오철민,1997,해태,2000,-0.046
27,권오성,1997,해태,2000,0.198
28,박지영,1997,해태,2000,
29,조남기,1997,해태,1800,0.145
30,박진철,1997,해태,1800,0.053
31,이호준,1997,해태,1800,0.819
32,최희창,1997,해태,1800,0.008
33,김봉영,1997,해태,1600,0.124
34,노정근,1997,해태,1500,
35,김형성,1997,해태,1500,-0.043
36,김지영,1997,해태,1400,0.692
37,이동욱,1997,해태,1400,-0.006
38,지승준,1997,해태,1400,
39,정영철,1997,해태,1200,
40,류기중,1997,해태,1200,
41,이정훈,1997,해태,1200,
42,이우혁,1997,해태,1000,
0,조계현,1997,삼성,12000,
1,양준혁,1997,삼성,12000,8.171
2,김상엽,1997,삼성,10000,3.262
3,박충식,1997,삼성,10000,2.915
4,류중일,1997,삼성,8500,1.409
5,이순철,1997,삼성,8300,
6,김태한,1997,삼성,8000,3.234
7,김형석,1997,삼성,8000,
8,성준,1997,삼성,7300,1.517
9,박동희,1997,삼성,6500,
10,이승엽,1997,삼성,6500,6.783
11,최창양,1997,삼성,5000,1.008
12,김재걸,1997,삼성,4875,0.047
13,정회열,1997,삼성,4400,
14,이상훈,1997,삼성,4000,0.373
15,전병호,1997,삼성,4000,1.018
16,양용모,1997,삼성,4000,0.407
17,최재호,1997,삼성,4000,1.332
18,신동주,1997,삼성,3850,5.461
19,김한수,1997,삼성,3800,3.234
20,최한경,1997,삼성,3735,
21,김태균,1997,삼성,3500,3.443
22,김종훈,1997,삼성,3500,
23,곽채진,1997,삼성,3500,1.279
24,최익성,1997,삼성,3000,7.1
25,김영진,1997,삼성,3000,0.088
26,김인철,1997,삼성,3000,0.331
27,정경배,1997,삼성,2800,3.073
28,김훈,1997,삼성,2300,0.005
29,김광현,1997,삼성,2300,
30,신성필,1997,삼성,2100,
31,최승우,1997,삼성,2000,0.0
32,정성훈,1997,삼성,2000,0.71
33,김승관,1997,삼성,2000,-0.136
34,권영철,1997,삼성,2000,
35,하춘동,1997,삼성,2000,-0.227
36,황두성,1997,삼성,2000,
37,정회선,1997,삼성,2000,
38,정현욱,1997,삼성,2000,
39,김헌수,1997,삼성,2000,
40,송재익,1997,삼성,2000,-0.108
41,이계성,1997,삼성,2000,-0.007
42,변대수,1997,삼성,2000,0.383
43,박태순,1997,삼성,2000,-0.16
44,장성국,1997,삼성,2000,-0.049
45,장형석,1997,삼성,2000,-0.094
46,황성관,1997,삼성,2000,0.189
47,감병훈,1997,삼성,1800,0.049
48,박규대,1997,삼성,1700,
49,설재호,1997,삼성,1500,
0,김상진,1997,OB,9800,3.34
1,김상호,1997,OB,9800,3.929
2,권명철,1997,OB,6200,0.934
3,김종석,1997,OB,6200,-0.066
4,김민호,1997,OB,6200,2.904
5,진필중,1997,OB,5800,1.886
6,심정수,1997,OB,5500,0.827
7,김태형,1997,OB,5400,0.539
8,안경현,1997,OB,5200,2.072
9,김경원,1997,OB,5200,3.855
10,강길용,1997,OB,5000,0.481
11,강병규,1997,OB,5000,1.958
12,정수근,1997,OB,4600,2.452
13,이광우,1997,OB,4400,2.128
14,장원진,1997,OB,4200,0.713
15,이용호,1997,OB,4000,-0.296
16,신동수,1997,OB,4000,
17,박명환,1997,OB,4000,2.972
18,이도형,1997,OB,3600,0.597
19,한태균,1997,OB,3200,0.207
20,전형도,1997,OB,3000,-0.055
21,유택현,1997,OB,2800,
22,박상근,1997,OB,2700,
23,추성건,1997,OB,2600,
24,이종민,1997,OB,2500,1.644
25,홍길남,1997,OB,2400,-0.06
26,최기문,1997,OB,2300,0.182
27,한명윤,1997,OB,2300,0.102
28,소상영,1997,OB,2200,0.015
29,김유봉,1997,OB,2200,
30,김영수,1997,OB,2000,0.195
31,문희성,1997,OB,2000,0.84
32,김환조,1997,OB,2000,0.251
33,김도균,1997,OB,2000,-0.025
34,진갑용,1997,OB,2000,1.226
35,김도형,1997,OB,2000,0.172
36,이경필,1997,OB,2000,2.469
37,김성환,1997,OB,2000,
38,강규철,1997,OB,2000,-0.328
39,김정규,1997,OB,1900,-0.071
40,강신창,1997,OB,1800,0.029
41,최용호,1997,OB,1700,-0.007
42,김봉수,1997,OB,1300,
0,김용수,1997,LG,12200,3.581
1,김동수,1997,LG,8300,3.766
2,김태원,1997,LG,7200,0.046
3,송유석,1997,LG,6300,0.821
4,김기범,1997,LG,6300,-0.027
5,김재현,1997,LG,6000,
6,유지현,1997,LG,5700,4.352
7,서용빈,1997,LG,5500,2.738
8,김종헌,1997,LG,5150,
9,동봉철,1997,LG,5000,1.921
10,심재학,1997,LG,4900,3.487
11,김선진,1997,LG,4600,-0.104
12,박종호,1997,LG,4500,0.348
13,이종열,1997,LG,4500,
14,박준태,1997,LG,3800,-0.443
15,박철홍,1997,LG,3600,
16,김정민,1997,LG,3300,-0.058
17,차명석,1997,LG,3300,3.444
18,허문회,1997,LG,3200,0.443
19,전종화,1997,LG,2900,0.011
20,민원기,1997,LG,2800,0.154
21,인현배,1997,LG,2800,0.007
22,신국환,1997,LG,2500,3.013
23,이우수,1997,LG,2500,
24,최승민,1997,LG,2400,0.415
